Start Time,End Time,Category,Timestamp,Heart Rate,Source Name
19/09/22 6:53,19/09/22 7:12,Awake,19/09/22 6:52,63,Apple Watch SE 2020
19/09/22 7:12,19/09/22 7:15,Light/Core,19/09/22 7:13,59,Apple Watch SE 2020
20/09/22 0:08,20/09/22 0:20,Light/Core,20/09/22 0:11,66,Apple Watch SE 2020
20/09/22 0:20,20/09/22 0:30,Deep,20/09/22 0:19,69,Apple Watch SE 2020
20/09/22 0:30,20/09/22 0:33,Light/Core,20/09/22 0:29,69,Apple Watch SE 2020
20/09/22 0:33,20/09/22 0:37,Deep,20/09/22 0:34,72,Apple Watch SE 2020
20/09/22 0:37,20/09/22 0:37,Light/Core,20/09/22 0:34,72,Apple Watch SE 2020
20/09/22 0:37,20/09/22 0:56,Awake,20/09/22 0:34,72,Apple Watch SE 2020
20/09/22 0:56,20/09/22 0:58,Light/Core,20/09/22 0:55,72,Apple Watch SE 2020
20/09/22 0:58,20/09/22 1:16,Awake,20/09/22 0:59,70,Apple Watch SE 2020
20/09/22 1:16,20/09/22 1:44,Light/Core,20/09/22 1:16,70,Apple Watch SE 2020
20/09/22 1:44,20/09/22 1:45,Deep,20/09/22 1:44,67,Apple Watch SE 2020
20/09/22 1:45,20/09/22 1:49,Light/Core,20/09/22 1:44,67,Apple Watch SE 2020
20/09/22 1:49,20/09/22 1:50,Deep,20/09/22 1:49,67,Apple Watch SE 2020
20/09/22 1:50,20/09/22 1:58,Light/Core,20/09/22 1:49,67,Apple Watch SE 2020
20/09/22 1:58,20/09/22 2:06,Deep,20/09/22 2:00,67,Apple Watch SE 2020
20/09/22 2:06,20/09/22 2:13,Light/Core,20/09/22 2:04,67,Apple Watch SE 2020
20/09/22 2:13,20/09/22 2:41,REM,20/09/22 2:15,68,Apple Watch SE 2020
20/09/22 2:41,20/09/22 3:00,Light/Core,20/09/22 2:39,64,Apple Watch SE 2020
20/09/22 3:00,20/09/22 3:21,Deep,20/09/22 2:59,68,Apple Watch SE 2020
20/09/22 3:21,20/09/22 3:31,Light/Core,20/09/22 3:21,69,Apple Watch SE 2020
20/09/22 3:31,20/09/22 3:35,Deep,20/09/22 3:29,64,Apple Watch SE 2020
20/09/22 3:35,20/09/22 4:16,Light/Core,20/09/22 3:34,65,Apple Watch SE 2020
20/09/22 4:16,20/09/22 4:54,REM,20/09/22 4:15,62,Apple Watch SE 2020
20/09/22 4:54,20/09/22 5:26,Light/Core,20/09/22 4:56,61,Apple Watch SE 2020
20/09/22 5:26,20/09/22 5:46,Deep,20/09/22 5:24,64,Apple Watch SE 2020
20/09/22 5:46,20/09/22 6:18,Light/Core,20/09/22 5:44,64,Apple Watch SE 2020
20/09/22 6:18,20/09/22 6:19,Awake,20/09/22 6:20,60,Apple Watch SE 2020
20/09/22 6:19,20/09/22 6:27,Light/Core,20/09/22 6:20,60,Apple Watch SE 2020
20/09/22 6:27,20/09/22 6:32,Awake,20/09/22 6:27,62,Apple Watch SE 2020
20/09/22 6:32,20/09/22 6:51,Light/Core,20/09/22 6:31,63,Apple Watch SE 2020
20/09/22 6:51,20/09/22 6:52,Awake,20/09/22 6:50,62,Apple Watch SE 2020
20/09/22 6:52,20/09/22 7:29,Light/Core,20/09/22 6:50,62,Apple Watch SE 2020
20/09/22 7:29,20/09/22 8:04,REM,20/09/22 7:30,61,Apple Watch SE 2020
20/09/22 8:04,20/09/22 8:05,Light/Core,20/09/22 8:05,69,Apple Watch SE 2020
21/09/22 0:27,21/09/22 1:00,Light/Core,21/09/22 0:25,73,Apple Watch SE 2020
21/09/22 1:00,21/09/22 1:08,Deep,21/09/22 0:59,72,Apple Watch SE 2020
21/09/22 1:08,21/09/22 1:10,Light/Core,21/09/22 1:09,72,Apple Watch SE 2020
21/09/22 1:10,21/09/22 1:15,Deep,21/09/22 1:09,72,Apple Watch SE 2020
21/09/22 1:15,21/09/22 1:19,Light/Core,21/09/22 1:14,73,Apple Watch SE 2020
21/09/22 1:19,21/09/22 1:36,Deep,21/09/22 1:19,72,Apple Watch SE 2020
21/09/22 1:36,21/09/22 1:41,Light/Core,21/09/22 1:34,73,Apple Watch SE 2020
21/09/22 1:41,21/09/22 1:42,REM,21/09/22 1:41,72,Apple Watch SE 2020
21/09/22 1:42,21/09/22 1:44,Light/Core,21/09/22 1:41,72,Apple Watch SE 2020
21/09/22 1:44,21/09/22 1:45,REM,21/09/22 1:44,69,Apple Watch SE 2020
21/09/22 1:45,21/09/22 2:16,Light/Core,21/09/22 1:44,69,Apple Watch SE 2020
21/09/22 2:16,21/09/22 2:19,Deep,21/09/22 2:19,62,Apple Watch SE 2020
